,index,origin,Setor,Freguesia,Ano/Mês,Nº de operações,Valor das operações,prob,Mês,Ano
270,3285,non-local,Restaurantes,ARU/ORU do Centro Histórico,Fev 22,171282,4705271.52,0.40900917680939314,2,22
279,3294,non-local,Restaurantes,Bonfim,Fev 22,7281,196451.58,0.04645242789059659,2,22
288,3303,non-local,Restaurantes,Campanhã,Fev 22,7680,100148.94,0.05279439059599918,2,22
297,3312,non-local,Restaurantes,Paranhos,Fev 22,7776,142847.04,0.02913800080938891,2,22
306,3321,non-local,Restaurantes,Ramalde,Fev 22,4056,109103.28,0.020879019056737808,2,22
315,3330,non-local,Restaurantes,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Fev 22,13659,624147.69,0.07460754432536952,2,22
324,3339,non-local,Restaurantes,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Fev 22,347298,10173508.29,0.27446164350759733,2,22
333,3348,non-local,Restaurantes,União das freguesias de Lordelo do Ouro e Massarelos,Fev 22,21243,687851.1,0.06655200285719656,2,22
185,2202,non-local,"Bares, Cafés e Similares",ARU/ORU de Campanhã - Estação,Mar 22,561,5660.79,0.0254907306434024,3,22
194,2211,non-local,"Bares, Cafés e Similares",ARU/ORU do Centro Histórico,Mar 22,65466,1180121.16,0.4634498577071741,3,22
203,2220,non-local,"Bares, Cafés e Similares",Bonfim,Mar 22,8814,241987.56,0.08774077945348664,3,22
212,2229,non-local,"Bares, Cafés e Similares",Campanhã,Mar 22,594,4429.7699999999995,0.016582914572864323,3,22
221,2238,non-local,"Bares, Cafés e Similares",Paranhos,Mar 22,3750,109097.51999999999,0.035201351731906506,3,22
230,2247,non-local,"Bares, Cafés e Similares",Ramalde,Mar 22,369,6115.74,0.004939957428009157,3,22
236,2253,non-local,"Bares, Cafés e Similares","União das freguesias de Aldoar, Foz do Douro e Nevogilde",Mar 22,15759,470900.04,0.20252920538227243,3,22
245,2262,non-local,"Bares, Cafés e Similares","União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Mar 22,271857,4642938.12,0.29916443000656967,3,22
254,2271,non-local,"Bares, Cafés e Similares",União das freguesias de Lordelo do Ouro e Massarelos,Mar 22,9201,114182.79,0.07807448514624647,3,22
266,3281,non-local,Restaurantes,ARU/ORU de Campanhã - Estação,Mar 22,5610,89136.93000000001,0.13667592457243094,3,22
275,3290,non-local,Restaurantes,ARU/ORU do Centro Histórico,Mar 22,248832,7293180.2700000005,0.46439909297052157,3,22
284,3299,non-local,Restaurantes,Bonfim,Mar 22,10770,319396.89,0.059329036522888776,3,22
293,3308,non-local,Restaurantes,Campanhã,Mar 22,13377,168448.71,0.07331590456929578,3,22
302,3317,non-local,Restaurantes,Paranhos,Mar 22,10524,250650.72,0.03153598590409752,3,22
311,3326,non-local,Restaurantes,Ramalde,Mar 22,5934,157398.48,0.027516554448834232,3,22
320,3335,non-local,Restaurantes,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Mar 22,17952,807179.94,0.09588514293039353,3,22
329,3344,non-local,Restaurantes,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Mar 22,503475,15455124.45,0.33005750562469516,3,22
338,3353,non-local,Restaurantes,União das freguesias de Lordelo do Ouro e Massarelos,Mar 22,31653,1002254.19,0.08411863190624252,3,22
170,2187,non-local,"Bares, Cafés e Similares",ARU/ORU da Corujeira,Abr 22,1107,25513.65,0.10368080921607194,4,22
178,2195,non-local,"Bares, Cafés e Similares",ARU/ORU de Campanhã - Estação,Abr 22,1155,12425.85,0.049941626670125826,4,22
187,2204,non-local,"Bares, Cafés e Similares",ARU/ORU do Centro Histórico,Abr 22,106707,1976432.97,0.5037459813904743,4,22
196,2213,non-local,"Bares, Cafés e Similares",Bonfim,Abr 22,9252,235600.08000000002,0.08711372238856561,4,22
205,2222,non-local,"Bares, Cafés e Similares",Campanhã,Abr 22,876,8442.15,0.023204068658614112,4,22
214,2231,non-local,"Bares, Cafés e Similares",Paranhos,Abr 22,3498,131967.81,0.03698886527297529,4,22
223,2240,non-local,"Bares, Cafés e Similares",Ramalde,Abr 22,465,10479.93,0.007370423204945316,4,22
238,2255,non-local,"Bares, Cafés e Similares","União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Abr 22,374532,7010204.88,0.35376092716170077,4,22
247,2264,non-local,"Bares, Cafés e Similares",União das freguesias de Lordelo do Ouro e Massarelos,Abr 22,12096,181054.23,0.10355189151706604,4,22
259,3274,non-local,Restaurantes,ARU/ORU de Campanhã - Estação,Abr 22,9519,147208.86,0.19335770871419866,4,22
268,3283,non-local,Restaurantes,ARU/ORU do Centro Histórico,Abr 22,353976,11412212.61,0.5238338357447602,4,22
277,3292,non-local,Restaurantes,Bonfim,Abr 22,14991,513353.39999999997,0.07739727088270372,4,22
286,3301,non-local,Restaurantes,Campanhã,Abr 22,18213,232626.99,0.09431119120114335,4,22
295,3310,non-local,Restaurantes,Paranhos,Abr 22,9654,330813.24,0.030181954605139748,4,22
304,3319,non-local,Restaurantes,Ramalde,Abr 22,7668,204447.84,0.03617885603476341,4,22
313,3328,non-local,Restaurantes,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Abr 22,28059,1492326.21,0.13172311809027534,4,22
322,3337,non-local,Restaurantes,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Abr 22,705030,24012379.47,0.3952238805970149,4,22
331,3346,non-local,Restaurantes,União das freguesias de Lordelo do Ouro e Massarelos,Abr 22,44772,1554652.26,0.11417816813048934,4,22
176,2193,non-local,"Bares, Cafés e Similares",ARU/ORU da Corujeira,Mai 22,171,3694.5,0.019895287958115182,5,22
184,2201,non-local,"Bares, Cafés e Similares",ARU/ORU de Campanhã - Estação,Mai 22,1068,12693.210000000001,0.039595150706261815,5,22
193,2210,non-local,"Bares, Cafés e Similares",ARU/ORU do Centro Histórico,Mai 22,120480,2470981.29,0.5317374149299579,5,22
202,2219,non-local,"Bares, Cafés e Similares",Bonfim,Mai 22,9612,242898.63,0.0987821797441036,5,22
211,2228,non-local,"Bares, Cafés e Similares",Campanhã,Mai 22,666,4939.32,0.016549873266736247,5,22
220,2237,non-local,"Bares, Cafés e Similares",Paranhos,Mai 22,4623,141895.68,0.04524368761009982,5,22
229,2246,non-local,"Bares, Cafés e Similares",Ramalde,Mai 22,285,6448.95,0.0042904886640773195,5,22
244,2261,non-local,"Bares, Cafés e Similares","União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Mai 22,411753,7989553.2,0.3844350456557056,5,22
253,2270,non-local,"Bares, Cafés e Similares",União das freguesias de Lordelo do Ouro e Massarelos,Mai 22,12759,196450.74,0.10397261948417064,5,22
258,3273,non-local,Restaurantes,ARU/ORU da Corujeira,Mai 22,3255,125038.41,0.10347129506008011,5,22
265,3280,non-local,Restaurantes,ARU/ORU de Campanhã - Estação,Mai 22,11100,169884.57,0.2091813658977838,5,22
274,3289,non-local,Restaurantes,ARU/ORU do Centro Histórico,Mai 22,383763,12152562.93,0.5439881949701046,5,22
283,3298,non-local,Restaurantes,Bonfim,Mai 22,16080,616394.5800000001,0.08174096045628536,5,22
292,3307,non-local,Restaurantes,Campanhã,Mai 22,18216,220093.53,0.09377026901813015,5,22
301,3316,non-local,Restaurantes,Paranhos,Mai 22,13830,341238.45,0.0407831064164831,5,22
310,3325,non-local,Restaurantes,Ramalde,Mai 22,8073,208043.1,0.03663816577714846,5,22
319,3334,non-local,Restaurantes,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Mai 22,29217,1604470.59,0.12968042609853528,5,22
328,3343,non-local,Restaurantes,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Mai 22,758502,25408939.41,0.4144242195759607,5,22
337,3352,non-local,Restaurantes,União das freguesias de Lordelo do Ouro e Massarelos,Mai 22,47898,1612490.91,0.11644325160085768,5,22
175,2192,non-local,"Bares, Cafés e Similares",ARU/ORU da Corujeira,Jun 22,446,9454.58,0.07023622047244095,6,22
183,2200,non-local,"Bares, Cafés e Similares",ARU/ORU de Campanhã - Estação,Jun 22,936,8275.48,0.05839780384327427,6,22
192,2209,non-local,"Bares, Cafés e Similares",ARU/ORU do Centro Histórico,Jun 22,73802,1492341.1,0.5583953755825919,6,22
201,2218,non-local,"Bares, Cafés e Similares",Bonfim,Jun 22,7662,213457.98,0.11682727494510857,6,22
210,2227,non-local,"Bares, Cafés e Similares",Campanhã,Jun 22,596,4614.3,0.02572513812154696,6,22
219,2236,non-local,"Bares, Cafés e Similares",Paranhos,Jun 22,2780,80697.68,0.04585945232596503,6,22
228,2245,non-local,"Bares, Cafés e Similares",Ramalde,Jun 22,76,1324.5,0.002016342990555025,6,22
243,2260,non-local,"Bares, Cafés e Similares","União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Jun 22,301412,5615813.5200000005,0.4102372857364514,6,22
252,2269,non-local,"Bares, Cafés e Similares",União das freguesias de Lordelo do Ouro e Massarelos,Jun 22,9386,149950.56,0.12267356754496027,6,22
257,3272,non-local,Restaurantes,ARU/ORU da Corujeira,Jun 22,2374,93951.16,0.10729458555545512,6,22
264,3279,non-local,Restaurantes,ARU/ORU de Campanhã - Estação,Jun 22,9110,138237.92,0.2432446865320944,6,22
273,3288,non-local,Restaurantes,ARU/ORU do Centro Histórico,Jun 22,266366,8042960.16,0.5650698153954509,6,22
282,3297,non-local,Restaurantes,Bonfim,Jun 22,12020,378861.62,0.09330994115729169,6,22
291,3306,non-local,Restaurantes,Campanhã,Jun 22,14670,182370.62,0.11183959746893345,6,22
300,3315,non-local,Restaurantes,Paranhos,Jun 22,9006,286068.44,0.043034901945793035,6,22
309,3324,non-local,Restaurantes,Ramalde,Jun 22,7166,164405.2,0.05146657473641874,6,22
318,3333,non-local,Restaurantes,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Jun 22,18782,990233.52,0.14458146659892537,6,22
327,3342,non-local,Restaurantes,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Jun 22,529680,17206556.919999998,0.43706215808104565,6,22
336,3351,non-local,Restaurantes,União das freguesias de Lordelo do Ouro e Massarelos,Jun 22,37332,1192260.02,0.1384779737970533,6,22
174,2191,non-local,"Bares, Cafés e Similares",ARU/ORU da Corujeira,Jul 22,423,9428.64,0.10840594566888775,7,22
182,2199,non-local,"Bares, Cafés e Similares",ARU/ORU de Campanhã - Estação,Jul 22,562,4767.36,0.05504407443682664,7,22
191,2208,non-local,"Bares, Cafés e Similares",ARU/ORU do Centro Histórico,Jul 22,39917,847091.23,0.5434137442822914,7,22
200,2217,non-local,"Bares, Cafés e Similares",Bonfim,Jul 22,4468,120547.19,0.11629965120516425,7,22
